fragName,fragDescription,fragImgUrl
머스크,"사향노루에서 얻을 수 있는 향이다. 퀴퀴한 느낌이지만 묵직하면서도 달달한 느낌을 만드는 향이다. 따뜻하고 몽환적인 느낌이 있어 가을과 겨울에 어울린다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/1.png"
플로럴,"장미, 라일락, 라벤더와 같이 향기로운 꽃의 향이다.2종류 이상의 꽃이 조합된다. 꽃을 기반으로 우아하고 고급스러운 느낌을 준다. 무겁지않고 은은하게 퍼진다","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/2.png"
플로럴머스크,"향기로운 꽃 향에 묵직한 머스크 향이 더해졌다. 달콤하지만 거친 느낌을 동시에 받을 수 있어서 신선하고 매력적인 향이다. 각각 서로를 더 돋보이게 해주는 조합이다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/3.png"
우디머스크,"편안한 숲의 향에 파우더와 비슷한 향이 더해졌다. 포근함과 마음에 안정감을 준다. 여러 향 중에 가장무겁기 때문에 겨울 시즌에 어울리는 향이다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/4.png"
시트러스,"오렌지, 레몬, 라임과 같은 감귤류의 느낌을 가진 향으로, 달달하고 상큼하며 상쾌한 느낌을 준다. 상쾌한 느낌을 갖고 있어서 여름에 특히 잘 어울린다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/5.png"
프루티프레쉬,"시트러스 향을 제외한 나머지 다양한 과일의 향이다. 복숭아, 딸기, 메론, 파인애플, 바나나 등 상큼하고 달콤한 향을 느낄 수 있다. 발랄한 이미지에 잘 어울린다","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/6.png"
우디시트러스,"나무의 시원한 향과 그 주위를 감싸는 감귤류의 상큼한 향이 더해졌다. 가벼우면서도 산뜻한 느낌을 준다. 시트러스 향 보다 무게감 있는 청량함이다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/7.png"
우디,"숲이나 나무를 연상시키는 향이다. 나무의 향을 담아내어 편안함과 중후함, 고급스러움을 느낄 수 있게 해준다. 무게감있는 가을, 겨울 시즌에 자주 사용하는 향이다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/8.png"
로즈,"장미 본연의 향을 그대로 담아내어 생기발랄하고화려하게 느껴진다. 사랑스럽고 달콤한 향이다. 너무 무겁지 않은, 그러면서 가볍지도 않은 매력이 있다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/9.png"
아쿠아틱,"물향, 비향, 혹은 바다향이라고도 불린다. 특유의 깨끗하고기분 좋은 시원함이 푸른 바다로 휴가를 떠난 듯한 느낌을 선사한다. 중성적이며 젠더리스 향수에 많이 쓰인다.","https://perflowerbucket1.s3.ap-northeast-2.amazonaws.com/test/10.png"
